Period,IDPROV,Province,Xcoord,Ycoord,IDDISTRICT,District,Event,Casualties,Injured,Missing,Affected,Displaced,House_HD,House_MD,House_SD,Flooded
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3502,PONOROGO,Flood,,,,0,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3314,SRAGEN,Flood,,,,0,,,,,11
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3374,KOTA SEMARANG,Whirlwind,,,,3,3,1,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3512,SITUBONDO,Flood,1,,,1015,,,3,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3514,PASURUAN,Flood,,,,0,,,,,2630
January 2018,52,NUSA TENGGARA BARAT,117.50748,-8.60668,5207,SUMBAWA BARAT,Flood,,,,1880,,,,,457
January 2018,75,GORONTALO,122.37605,0.68682,7502,GORONTALO,Flood,,,,0,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3502,PONOROGO,Landslide,2,,,0,,1,,,
January 2018,75,GORONTALO,122.37605,0.68682,7503,POHUWATO,Landslide,4,,,0,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3512,SITUBONDO,Landslide,,,,0,,,,5,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3304,BANJARNEGARA,Landslide,,,,3781,422,21,,,
January 2018,74,SULAWESI TENGGARA,122.07208,-4.12542,7404,KOLAKA,Flood,,,,175,,,,,35
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3321,DEMAK,Flood,,,,325,,,,,65
January 2018,75,GORONTALO,122.37605,0.68682,7505,GORONTALO UTARA,Flood,,,,360,,,,,90
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3302,BANYUMAS,Whirlwind,,,,0,,,,2,
January 2018,14,RIAU,101.80779,0.51272,1407,ROKAN HULU,Flood,,,,0,,,,,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3208,KUNINGAN,Landslide,,,,144,15,4,8,,
January 2018,14,RIAU,101.80779,0.51272,1407,ROKAN HULU,Flood,,,,542,,,,,188
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3318,PATI,Whirlwind,,,,0,,,,1,
January 2018,34,DI YOGYAKARTA,110.4458,-7.89495,3403,GUNUNGKIDUL,Whirlwind,,,,0,,1,,16,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Landslide,,,,0,,,2,,
January 2018,17,BENGKULU,102.33675,-3.55258,1702,REJANG LEBONG,Landslide,,,,5,,,1,,
January 2018,53,NUSA TENGGARA TIMUR,121.98602,-8.64997,5302,SUMBA TIMUR,Flood,,,,65,65,13,,16,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3512,SITUBONDO,Whirlwind,,,,87,,11,12,10,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3510,BANYUWANGI,Flood,,,,1650,1650,1,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3506,KEDIRI,Whirlwind,1,2,,0,,,,50,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3302,BANYUMAS,Landslide,,,,15,,3,,,
